Message size (bytes),Average latency (us),25th percentile latency (us),50th percentile latency (us),75th percentile latency (us),90th percentile latency (us),99th percentile latency (us),99.9th percentile latency (us)
8,59.82 ,59.00 ,59.50 ,60.50 ,61.00 ,64.00 ,68.00 
16,58.02 ,57.00 ,58.00 ,58.50 ,59.50 ,62.00 ,66.50 
32,58.35 ,57.50 ,58.00 ,59.00 ,59.50 ,62.50 ,66.50 
64,59.76 ,59.00 ,59.50 ,60.50 ,61.00 ,63.50 ,67.50 
128,62.40 ,61.50 ,62.00 ,63.00 ,64.00 ,67.50 ,78.00 
256,67.77 ,66.50 ,67.50 ,68.50 ,69.50 ,72.00 ,118.00 
512,76.20 ,75.00 ,75.50 ,76.50 ,77.50 ,83.00 ,129.50 
1024,88.83 ,88.00 ,88.50 ,89.50 ,90.00 ,93.50 ,104.00 
2048,119.19 ,112.50 ,122.00 ,125.00 ,125.50 ,129.00 ,133.50 
4096,239.50 ,238.50 ,240.00 ,241.50 ,243.00 ,246.00 ,252.50 
8192,257.12 ,256.00 ,257.00 ,258.00 ,258.50 ,262.00 ,271.00 
16384,283.67 ,273.50 ,275.00 ,286.00 ,300.00 ,354.00 ,365.50 
32768,473.74,457.00,470.50,501.50,512.00,526.00,538.00 